,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Dynamite,BTS,1869289,https://open.spotify.com/track/0t1kP63rueHleOhQkYSXFY
2,夜に駆ける,YOASOBI,1862246,https://open.spotify.com/track/3dPtXHP0oXQ4HCWHsOA9js
3,裸の心,Aimyon,1451140,https://open.spotify.com/track/4Jv7U0JJpbQnOrjtDwDZTZ
4,香水,Eito,1426368,https://open.spotify.com/track/2iOvMtA1u9s95NF6mJDOuT
5,"Make you happy",NiziU,1383687,https://open.spotify.com/track/4FrxgrNbNrdfq8093JaEJf
6,感電,"Kenshi Yonezu",1247957,https://open.spotify.com/track/1rd3RSjrOShIUG8rG9FvDI
7,"猫 〜THE FIRST TAKE ver.〜",DISH//,1212255,https://open.spotify.com/track/6F0aYmicNttntvth7FXQEx
8,"I Love...","Official HIGE DANdism",1143917,https://open.spotify.com/track/4pRqq3MwcqitKqNO8rOrOb
9,Pretender,"Official HIGE DANdism",1114066,https://open.spotify.com/track/15HNdxGKNCIO9pgaY4n7FU
10,115万キロのフィルム,"Official HIGE DANdism",1107254,https://open.spotify.com/track/278JqkBGkjDovOYAwE8TW7
11,白日,"King Gnu",1000641,https://open.spotify.com/track/4wel6DQu0dMVBRVn2ZTPoy
12,Laughter,"Official HIGE DANdism",993100,https://open.spotify.com/track/1SdwlHsv8bWHbAlIw5Jfgo
13,"snow jam",Rin音,979173,https://open.spotify.com/track/6uUtmCz8XXep7n1QmC1jJG
14,"Walking with you",Novelbright,952639,https://open.spotify.com/track/7tGDXCPLpAScEwmqab9YZd
15,キンモクセイ,オレンジスパイニクラブ,945833,https://open.spotify.com/track/4KyCrwLEWoGHJwobxc55oe
16,群青,YOASOBI,937535,https://open.spotify.com/track/0T4AitQuq8IJhWBWuZwkFA
17,春を告げる,yama,933687,https://open.spotify.com/track/2Gmyw5Vg2X5YW2lM3OC7nD
18,Neko,DISH//,870684,https://open.spotify.com/track/3NP2nqAgMELIV3MAhrFNMx
19,ハルジオン,YOASOBI,856947,https://open.spotify.com/track/7HneEBTvTra2CRYsxgMOAi
20,Shukumei,"Official HIGE DANdism",850755,https://open.spotify.com/track/0XaHPBAzPAC5ubwcRBqc1p
21,点描の唄,"Mrs. GREEN APPLE",824725,https://open.spotify.com/track/1sIIlVrnPhrvmTrHtzM7tV
22,"Lovesick Girls",BLACKPINK,824577,https://open.spotify.com/track/4Ws314Ylb27BVsvlZOy30C
23,不可幸力,Vaundy,822783,https://open.spotify.com/track/65e5PmFI3cqoLEJYF3TfCG
24,"Stay Gold",BTS,819553,https://open.spotify.com/track/3Ys2PYl1wyPKQIwyqhP9cQ
25,Machigaisagashi,"Masaki Suda",815621,https://open.spotify.com/track/4Jj31lihp5Nvdi4lFRjrqc
26,マリーゴールド,Aimyon,811432,https://open.spotify.com/track/2cKiHG16JBiqHdi7Llq0r7
27,ただ君に晴れ,ヨルシカ,809184,https://open.spotify.com/track/3wJHCry960drNlAUGrJLmz
28,Lemon,"Kenshi Yonezu",777912,https://open.spotify.com/track/4rvtqOGyTPZJwWtVTNdZbu
29,Yesterday,"Official HIGE DANdism",777331,https://open.spotify.com/track/1kMlcLyljkrShV0LSdSGBz
30,"Ice Cream (with Selena Gomez)",BLACKPINK,769852,https://open.spotify.com/track/4JUPEh2DVSXFGExu4Uxevz
31,Gurenge,LiSA,758208,https://open.spotify.com/track/23DbzwNJSLo7nkSWjODMvY
32,Myra,"Tani Yuuki",748647,https://open.spotify.com/track/5wc4f6crkCzAvwNhoEeMhh
33,ハルノヒ,Aimyon,746124,https://open.spotify.com/track/1oNeSCt0CMekCyyLo06kFs
34,青と夏,"Mrs. GREEN APPLE",743398,https://open.spotify.com/track/5BC6kr6etk2Y9J62AyI4i3
35,ノーダウト,"Official HIGE DANdism",738237,https://open.spotify.com/track/5DMEvbg3gUmiR5HIBWdveV
36,僕のこと,"Mrs. GREEN APPLE",733571,https://open.spotify.com/track/0tnhoHUrHfcLi9hPknUFZ4
37,花に亡霊,ヨルシカ,731531,https://open.spotify.com/track/3FUqp10RhCmMjyyB9extmo
38,ぎゅっと。,もさを。,709265,https://open.spotify.com/track/6nqfKM9JvQIiuAuzWZFvGW
39,たぶん,YOASOBI,704911,https://open.spotify.com/track/62Lv9WcrfzJqhvYDbilJy3
40,HELLO,"Official HIGE DANdism",702883,https://open.spotify.com/track/2SzXlu48l0sqApK9hBWZtg
41,パラボラ,"Official HIGE DANdism",691892,https://open.spotify.com/track/51JOzfozDdPMKxyEccRltg
42,インフェルノ,"Mrs. GREEN APPLE",678692,https://open.spotify.com/track/2vOAHp8PBBFYqvQUWSoITY
43,馬と鹿,"Kenshi Yonezu",639826,https://open.spotify.com/track/19op3QHIz9Aq5VdwsASXIz
44,未完成,"Leo Ieiri",615040,https://open.spotify.com/track/10mmoWFRBG9mlLekSWYzWT
45,"Whenever You Call",ARASHI,606821,https://open.spotify.com/track/4itdOvg6V8hjTOQUeaGHWt
46,"Night Diver",三浦春馬,603614,https://open.spotify.com/track/5hcWlcZE9vFMeaFaTjo1Zf
47,"Not Shy",ITZY,587233,https://open.spotify.com/track/4ecVWqbtW6phQGpZMAyqIU
48,"How You Like That",BLACKPINK,580683,https://open.spotify.com/track/4SFknyjLcyTLJFPKD2m96o
49,PLACEBO,"Kenshi Yonezu",572715,https://open.spotify.com/track/6MCqARqpbUAGUIvWh8bxaw
50,"Stand by me, Stand by you.",HIRAIDAI,500119,https://open.spotify.com/track/2RbVD1IgXtyQFlLtbthaZ3
51,かくれんぼ,優里,467292,https://open.spotify.com/track/0JTjZnuciQH4M3620aMDtZ
52,Flamingo,"Kenshi Yonezu",459083,https://open.spotify.com/track/3DsNdDIj0sJHBuXIlcPPyz
53,"No Regret",wacci,424980,https://open.spotify.com/track/5TIMNeqGc26Ohw0yfcAfGB
54,アカシア,"BUMP OF CHICKEN",424133,https://open.spotify.com/track/0tvPnYDLySJL9g7OHNJeyb
55,Hug,空音,423547,https://open.spotify.com/track/4cHB6U8fasfxq7XD8uNxuK
56,ピースサイン,"Kenshi Yonezu",382730,https://open.spotify.com/track/5aHfGUxRec6c41luxkDqhX
57,"Boy With Luv (feat. Halsey)",BTS,353471,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
58,夜永唄,神はサイコロを振らない,347803,https://open.spotify.com/track/3wGeCSeMbiFUryh5MZ4iNT
59,"Feel Special",TWICE,340641,https://open.spotify.com/track/2HtcPHFdo7eu4Ilbvb0BVI
60,ロマンチシズム,"Mrs. GREEN APPLE",340185,https://open.spotify.com/track/0JcI7OdALbpSFkyKoufRYs
61,"Bet You Wanna (feat. Cardi B)",BLACKPINK,338883,https://open.spotify.com/track/7iAgNZdotu40NwtoIWJHFe
62,君はロックを聴かない,Aimyon,333679,https://open.spotify.com/track/59eluCMn0XbOWqeWQ91FTM
63,魔法の絨毯,"川崎 鷹也",330064,https://open.spotify.com/track/37IPQgBkvbmH9JR5mlY6a8
64,恋人ごっこ,"macaroni enpitsu",320746,https://open.spotify.com/track/2SihT7AVMiI2VtaAyVIcnO
65,"Sayonara Elegy","Masaki Suda",320710,https://open.spotify.com/track/0QKmcZNAST4GytJYmkN05D
66,"Your eyes tell",BTS,320400,https://open.spotify.com/track/3TZ7NHkMT82AhwuYsd00Hz
67,"Savage Love (Laxed – Siren Beat) [BTS Remix]","Jawsh 685",313599,https://open.spotify.com/track/4TgxFMOn5yoESW6zCidCXL
68,きらきら,もさを。,308466,https://open.spotify.com/track/5eXXJJuejAUkggSgIINU1V
69,"Holy (feat. Chance The Rapper)","Justin Bieber",308145,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy
70,あの夢をなぞって,YOASOBI,305260,https://open.spotify.com/track/4BE1OloRc9xwjyqA4wFFuN
71,高嶺の花子さん,"back number",301880,https://open.spotify.com/track/2jdbZGFp8KVTuk0YxDNL4l
72,怪物さん,"Ken Hirai",298311,https://open.spotify.com/track/1heN1fuesAqx4WRlQFkCLJ
73,"MORE & MORE",TWICE,293275,https://open.spotify.com/track/2bAAj29XGc4h1G4oEGYCmg
74,"Never Grow Up",CHANMINA,292560,https://open.spotify.com/track/5aDgM8rYPT15CqjkN1EIKq
75,まちがいさがし,"Kenshi Yonezu",287089,https://open.spotify.com/track/4FidnSkTNEEQLmPpueLPd7
76,CHILDAYS,"BLOOM VASE",285062,https://open.spotify.com/track/1g1AXdio16Yh5SXgPBXcfq
77,Mela!,"Ryokuoushoku Shakai",278881,https://open.spotify.com/track/6fF4cFFiKsb2T2IFHaXezn
78,us,milet,278429,https://open.spotify.com/track/13KOSEIdzpafSyYCUldj7z
79,第六感,Reol,274667,https://open.spotify.com/track/22sQUmLhT8umlEhQzDrzfJ
80,"Wherever you are","ONE OK ROCK",271120,https://open.spotify.com/track/7a7EIFzJLd7lcDRgThMQgm
81,祈り花,HIRAIDAI,270655,https://open.spotify.com/track/5G24eB35Ucu4A8MPKLNV9B
82,飛行艇,"King Gnu",269470,https://open.spotify.com/track/6Ea33AvEANARkK2QduzhRm
83,そっけない,RADWIMPS,268693,https://open.spotify.com/track/2ntXQnx4ZUraj1u5Hwqjem
84,だから僕は音楽を辞めた,ヨルシカ,267606,https://open.spotify.com/track/5j7ixaLeGTGSv4DzKs0pCM
85,秒針を噛む,ZUTOMAYO,266664,https://open.spotify.com/track/4HgsPAX3MmMgIT60hJ4W4U
86,Fanfare,TWICE,266369,https://open.spotify.com/track/49moLXpCwwantnF78yItWf
87,ワタリドリ,[Alexandros],265439,https://open.spotify.com/track/0ve9Tpz8Yw0I4eXhWsy21o
88,Lovers,sumika,262952,https://open.spotify.com/track/3pwe5YS438tETO53DSfTnl
89,"Pretty Savage",BLACKPINK,262864,https://open.spotify.com/track/1XnpzbOGptRwfJhZgLbmSr
90,優しさ,"Fujii Kaze",258249,https://open.spotify.com/track/0f3Ce9xjHymExIpEyHUC8D
91,HANABI,Mr.Children,255708,https://open.spotify.com/track/0AU7xhipAm9Saq0k8A9Iua
92,"Rain On Me (with Ariana Grande)","Lady Gaga",254098,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
93,ON,BTS,251882,https://open.spotify.com/track/2QyuXBcV1LJ2rq01KhreMF
94,いつか,"Saucy Dog",251097,https://open.spotify.com/track/0v3iUTe5rskRsxbUhboRlT
95,あなたがいることで,Uru,248516,https://open.spotify.com/track/6baeV3RT4kpivo327DC3AM
96,今夜このまま,Aimyon,244550,https://open.spotify.com/track/6kKvmT4i0Dercz6f3kftg3
97,"Crazy Over You",BLACKPINK,243303,https://open.spotify.com/track/7qq0EOPW4RRlqdvMBmdd73
98,366日,HY,242531,https://open.spotify.com/track/22aZD7yaGYfhgCYazL4nbc
99,ハッピーエンド,"back number",242492,https://open.spotify.com/track/0ssEfLe9aqPhMmLXKqBw6J
100,"Teenager Forever","King Gnu",237035,https://open.spotify.com/track/1jtBcfrVYDtykjyM66hroR
101,打上花火,DAOKO,235225,https://open.spotify.com/track/4IouQaO9GkaHC7AtMErdSa
102,"Slow & Easy",HIRAIDAI,235161,https://open.spotify.com/track/4b5oBON2DgamONUxvP4JyQ
103,"Baby I'm a star",NiziU,234225,https://open.spotify.com/track/0MP1URfhXWBOtEmeV32SxU
104,"turn over?",Mr.Children,233839,https://open.spotify.com/track/4iLUPXEEu3NfwZLmqmDqwF
105,トリコ,Nissy,227234,https://open.spotify.com/track/7H5uStZMOGpcVw7eW0eyTi
106,"Mood (feat. iann dior)",24kGoldn,226691,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
107,"Love To Hate Me",BLACKPINK,224149,https://open.spotify.com/track/7iKDsPfLT0d5mu2htfMKBZ
108,また逢う日まで,HIRAIDAI,222501,https://open.spotify.com/track/3awymLmIrvn9lkJeFpmRSf
109,小さな恋のうた,MONGOL800,218930,https://open.spotify.com/track/23atyJacJVHvB9RHBNhr35
110,MAGIC,"SEKAI NO OWARI",217265,https://open.spotify.com/track/4qyGU4DyGaRobLMhpZxEMX
111,WANNABE,ITZY,215561,https://open.spotify.com/track/6tCssnvTUREcperDOUTqvA
112,Prologue,Uru,214417,https://open.spotify.com/track/3LhiOBfTSTjfpwdElYyE8k
113,空の青さを知る人よ,Aimyon,213965,https://open.spotify.com/track/6pHcxtpwNOIATrwHCL5WNw
114,"Shape of You","Ed Sheeran",213334,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
115,東京フラッシュ,Vaundy,212735,https://open.spotify.com/track/6etVkKF8FAy4jXcSl8jlEO
116,"Wasted Nights","ONE OK ROCK",211862,https://open.spotify.com/track/39LyUQIy7idLxPdsjyZsxe
117,奏(かなで),"Sukima Switch",208812,https://open.spotify.com/track/5RbMlPFL4gVyEHW2lEOuzG
118,Angel,CHANMINA,208464,https://open.spotify.com/track/3Bkg2Jge2dDowdgpjJTz8N
119,Lights,BTS,208079,https://open.spotify.com/track/3TDUktzfYXMWjkWqwoT5F1
120,春愁,"Mrs. GREEN APPLE",206781,https://open.spotify.com/track/5SHguvOUbyPTINNjCvRo8K
121,"Stand By You","Official HIGE DANdism",206745,https://open.spotify.com/track/7Ca8EuTCyU3pjJR4TNOXqs
122,花束,"back number",206702,https://open.spotify.com/track/3QIAwtEEDOrv0g5NKCGrXZ
123,僕が君に出来ること,HIRAIDAI,204125,https://open.spotify.com/track/4zYWl3eovDB7WWtbqoZH22
124,会いたいわ,iri,203331,https://open.spotify.com/track/5g1SvaEtzlKEqre9FbPQEc
125,パプリカ,"Kenshi Yonezu",202659,https://open.spotify.com/track/5gZkspRLEDGfqKKKlW0zcv
126,"Turning Up",ARASHI,201744,https://open.spotify.com/track/4zdQmfTLWgGd5mAX4MUIaX
127,DNA,BTS,201177,https://open.spotify.com/track/5SE57ljOIUJ1ybL9U6CuBH
128,ICY,ITZY,200828,https://open.spotify.com/track/7zFBtYAVURF3bUVqEQ6UUu
129,FANCY,TWICE,200565,https://open.spotify.com/track/0W5hTAWn8Tq0Qfhg1XP3YW
130,Prince,SANARI,200372,https://open.spotify.com/track/1lZgpaHTGgMh6Nr0ABNyh0
131,かつて天才だった俺たちへ,"Creepy Nuts",199053,https://open.spotify.com/track/4qjpey2aljl28C40NmTcgQ
132,"You Never Know",BLACKPINK,198156,https://open.spotify.com/track/39kzWAiVPpycdMpr745oPj
133,ブルーベリー・ナイツ,"macaroni enpitsu",198138,https://open.spotify.com/track/2UdvMWk0Z83lMJPbawy2Sm
134,愛をこめて花束を,Superfly,194938,https://open.spotify.com/track/7CmWXD3w1xOO53AAO4LRVQ
135,"Sunny drop",Novelbright,194615,https://open.spotify.com/track/02ZsOeVtenrP80YpRPSonZ
136,君がくれた夏,"Leo Ieiri",194369,https://open.spotify.com/track/6woHdm2NKm0RHbuO7qt4ww
137,Negai,sumika,193795,https://open.spotify.com/track/0ophTl8mevsVgtH7V0XV0g
138,アイノカタチ,MISIA,193176,https://open.spotify.com/track/76flsS3UnNr7UQIz6JmVT3
139,みかんハート,C&K,192952,https://open.spotify.com/track/1H9jJvALjdKH3C3Ol0w765
140,"My Boo","Shota Shimizu",192489,https://open.spotify.com/track/2gasr6aemUqZIBBN05EO03
141,夏夜のマジック,"Indigo la End",190608,https://open.spotify.com/track/144pIQC3mpmUkZXMt8fIwb
142,クリスマスソング,"back number",189474,https://open.spotify.com/track/5P8ZvBQoCrujjNcLAxO3Su
143,"Kill This Love",BLACKPINK,188802,https://open.spotify.com/track/4pUCKHjJ4Ijewc37rRrvHn
144,全力少年,"Sukima Switch",188660,https://open.spotify.com/track/3Ztjw8utVpcrzms1RrsJvR
145,カムパネルラ,"Kenshi Yonezu",186712,https://open.spotify.com/track/2WI2is2NtH0WTs7zfKNpcE
146,欲望に満ちた青年団,"ONE OK ROCK",183126,https://open.spotify.com/track/6D6Pybzey0shI8U9ttRAPx
147,愛唄,GReeeeN,182768,https://open.spotify.com/track/7iXHLtPosbHvglVSJ4rxLq
148,天体観測,"BUMP OF CHICKEN",180744,https://open.spotify.com/track/3hRRYgBeunE3PTmnzATTS0
149,"달라달라 (DALLA DALLA)",ITZY,180560,https://open.spotify.com/track/0GU5GuJQQEnnREO2FxnVPT
150,Dolphin,"OH MY GIRL",180142,https://open.spotify.com/track/3NfgdU9mbIVhcJF3XvC0c9
151,Vintage,"Official HIGE DANdism",179580,https://open.spotify.com/track/0VJjfALZ6SuIQumrTgF3tJ
152,"bad guy","Billie Eilish",179513,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
153,浮気されたけどまだ好きって曲。,りりあ。,178521,https://open.spotify.com/track/5VDFdX4rP5EN3U7UKSZiE7
154,"Route 246",Nogizaka46,177893,https://open.spotify.com/track/7zC66d7FERcogZkgW7lgnq
155,"Way Back Home",SHAUN,176896,https://open.spotify.com/track/3NxuezMdSLgt4OwHzBoUhL
156,コイワズライ,Aimer,176879,https://open.spotify.com/track/5v2xgL8y4XI0hi50cU574j
157,眠り姫,"SEKAI NO OWARI",175549,https://open.spotify.com/track/45K0qNLo4nltgbQ7c6bfqs
158,"Mad at Disney","salem ilese",174385,https://open.spotify.com/track/7aGyRfJWtLqgJaZoG9lJhE
159,どろん,"King Gnu",173621,https://open.spotify.com/track/2JY4tbfUERXveQxv6wTFFv
160,"Love so sweet",ARASHI,173064,https://open.spotify.com/track/5I6JLJqnZICLvPebTj2YCm
161,"WAP (feat. Megan Thee Stallion)","Cardi B",171449,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
162,"Savage Love (Laxed - Siren Beat)","Jawsh 685",171202,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
163,可愛い君が愛おしい!,Sui,171038,https://open.spotify.com/track/6JmTrd6VvMOWZFBk439e28
164,Wonder,"Shawn Mendes",170877,https://open.spotify.com/track/5KCbr5ndeby4y4ggthdiAb
165,"Boom Boom Boom",NiziU,168805,https://open.spotify.com/track/5SvmqYmtWdOffFcYg21IhJ
166,新宝島,Sakanaction,166733,https://open.spotify.com/track/6ODZT1FGTE2q4two05giS1
167,虹の向こうへ,NiziU,166639,https://open.spotify.com/track/3jKhYB78kmpIxMHQXrDUaj
168,シュガーソングとビターステップ,"UNISON SQUARE GARDEN",166218,https://open.spotify.com/track/6bfjEGSR7DyC8MK8cp3ZCp
169,Kabutomushi,aiko,166063,https://open.spotify.com/track/4kRbmjHl6Ncxsmzl4cJdg4
170,"WanteD! WanteD!","Mrs. GREEN APPLE",165925,https://open.spotify.com/track/7M3TZDUNvaNBo0qtWVaZif
171,Gravity,"BUMP OF CHICKEN",165439,https://open.spotify.com/track/15WLZS3pvNj1grj8FsI1tv
172,チェリー,SPITZ,165338,https://open.spotify.com/track/1ihCiJaXRl4f6Sy4LJov5z
173,"Watermelon Sugar","Harry Styles",164571,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
174,糸,"Masaki Suda",164514,https://open.spotify.com/track/6PIvQFdqqyWkEZ1ZEFTuzk
175,キセキ,GReeeeN,164024,https://open.spotify.com/track/7ztdl6cnbJgHRdMkKldkts
176,"Heaven's Drive",(sic)boy,163725,https://open.spotify.com/track/1UkvKT8XNebn2lkkLohuPd
177,さよならの今日に,Aimyon,163495,https://open.spotify.com/track/1BMFlDfS1ZLTKhqBGkM6zb
178,Umbrella,"King Gnu",163165,https://open.spotify.com/track/3JdeDiWCJW7KFLr58GHrSQ
179,アイネクライネ,"Kenshi Yonezu",162991,https://open.spotify.com/track/45YBVp6zMwQZRbUDcPzmMB
180,"Hanataba No Kawari Ni Melody Wo","Shota Shimizu",162793,https://open.spotify.com/track/4jaaMznp3KPllxbmRdiIbx
181,LOSER,"Kenshi Yonezu",162435,https://open.spotify.com/track/7wa1cHqTRdjXZuqo4iigj1
182,誰がその鐘を鳴らすのか?,Keyakizaka46,161934,https://open.spotify.com/track/4QhNZY9TnOQ4TFhE87nm38
183,"Hug feat. kojikoji (Fantasy club ver.)",空音,160396,https://open.spotify.com/track/5035nfb8l177pkVOPgxhc0
184,ひまわりの約束,"Motohiro Hata",160392,https://open.spotify.com/track/45jGOHwYKgsRYbAJ8DR61d
185,"I gotta go",GeG,159665,https://open.spotify.com/track/5EBsireOwbvRqFb0md9BDu
186,アイデア,"Gen Hoshino",159447,https://open.spotify.com/track/7jgqNMnqAT9FghC1uSYTFF
187,ヒロイン,"back number",158853,https://open.spotify.com/track/3hBAYbAECEix9raaTq8S3H
188,夢の恋人,ZOOKARADERU,158503,https://open.spotify.com/track/3w5zhSbdLu7UeASMye2Pd4
189,夢花火,Novelbright,158224,https://open.spotify.com/track/4CqQqMqOQKuvAUDyTDRvtv
190,Koushikondou,Yuzu,157800,https://open.spotify.com/track/4LewLSh92SzKMFuiQNFbhL
191,"FAKE LOVE",BTS,157463,https://open.spotify.com/track/3aW0ds4A4tSQDIp75FqWTo
192,名前の無い歌,Yamazaru,157317,https://open.spotify.com/track/43fEF597yI17Hh9ikhqED2
193,"GOOD VIBES ONLY feat. JP THE WAVY, EXILE SHOKICHI",SALU,157099,https://open.spotify.com/track/02qDk0sngobDvg3LUdt9Y0
194,灯火,Vaundy,156390,https://open.spotify.com/track/0YdCBegk4nNMCOeuiY5L0k
195,"Time Warp",Perfume,156071,https://open.spotify.com/track/28WPVv3qFvP7YfSX8hSuEO
196,2002,Anne-Marie,155808,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
197,"IN THE SUMMER",ARASHI,155483,https://open.spotify.com/track/7ovHL4kRsRy03qG8E93R2k
198,"YES or YES",TWICE,155399,https://open.spotify.com/track/0Ll92eLIHWY5gey1ISNMPi
199,Euphoria,BTS,155396,https://open.spotify.com/track/3p6hnejEQYXkiTO1lAzVc0
200,"life hack",Vaundy,155298,https://open.spotify.com/track/0oYjbNIJvhu53MJGTgL1ih
